n_snps,panel,reductor,classifier,fold,acc,f1,mcc,roc_auc
15,stat,EN,SVM_RBF,2,0.8316831683168316,0.8291862292363608,0.7369384367070086,0.9031524196555418
15,stat,EN,SVM_Lin,2,0.8316831683168316,0.8279374925444353,0.7375546059684694,0.9151033775587746
15,stat,EN,GBM,2,0.7623762376237624,0.7624673859791042,0.6348958610840506,0.9046514001576446
15,stat,EN,RF,3,0.8316831683168316,0.8234587488498681,0.7379060718686951,0.9595257908888909
15,stat,EN,XGB,3,0.8217821782178217,0.8171565301445028,0.721368324452581,0.9447684396641911
15,stat,EN,LR,3,0.8316831683168316,0.8288328832883289,0.7376448324412981,0.9511430315029843
15,stat,EN,SVM_RBF,3,0.8316831683168316,0.8241934586717099,0.7392648555931091,0.9584493692774574
15,stat,EN,SVM_Lin,3,0.801980198019802,0.7937310214537936,0.692670838506298,0.9228474449756904
15,stat,EN,GBM,3,0.8316831683168316,0.8291140007513603,0.7368501192916537,0.9459969700725012
15,stat,EN,RF,4,0.76,0.75580261960909,0.6269763510541526,0.9083871242897886
15,stat,EN,XGB,4,0.74,0.7378771377520633,0.5935448065064781,0.8815279253357328
15,stat,EN,LR,4,0.81,0.8073830639948286,0.704201022776849,0.9282648911679715
15,stat,EN,SVM_RBF,4,0.77,0.7622542100674528,0.6438334856161467,0.8992489561469342
15,stat,EN,SVM_Lin,4,0.78,0.7776168047436814,0.6528211712768585,0.9094109211668079
15,stat,EN,GBM,4,0.75,0.7502162162162161,0.6083337755185801,0.868082394957416
20,stat,EN,RF,0,0.8316831683168316,0.8253778009379885,0.7370751481050735,0.9429767332644229
20,stat,EN,XGB,0,0.8415841584158416,0.8363210005211048,0.7526918021765256,0.9450414525013097
20,stat,EN,LR,0,0.7722772277227723,0.7677143837618678,0.6450164587173539,0.9432413425276941
20,stat,EN,SVM_RBF,0,0.8415841584158416,0.836660526517768,0.7525908012633826,0.9443176561932137
20,stat,EN,SVM_Lin,0,0.7920792079207921,0.7887409558450063,0.6740956501650992,0.9279404962500414
20,stat,EN,GBM,0,0.8118811881188119,0.8043216483810542,0.7054738580572247,0.9383754230208288
20,stat,EN,RF,1,0.8316831683168316,0.8292562183047573,0.7382686258915948,0.9362073970236325
20,stat,EN,XGB,1,0.7920792079207921,0.7888368991162197,0.6761479575315831,0.9397362875172867
20,stat,EN,LR,1,0.8613861386138614,0.8601780602463429,0.7832273612059495,0.9491222760290556
20,stat,EN,SVM_RBF,1,0.801980198019802,0.7963619617775731,0.6895890019035802,0.9486038542684394
20,stat,EN,SVM_Lin,1,0.8217821782178217,0.8200517744281558,0.7206196783002853,0.9364328901349418
20,stat,EN,GBM,1,0.8415841584158416,0.8383640949043831,0.7539635269375651,0.9263733722252901
20,stat,EN,RF,2,0.8217821782178217,0.8159682247294496,0.7210899015834814,0.9483521067263263
20,stat,EN,XGB,2,0.8217821782178217,0.8159997699116317,0.7215987134459942,0.9445471612175448
20,stat,EN,LR,2,0.8415841584158416,0.8383533090151121,0.7526918021765256,0.9469551350126729
20,stat,EN,SVM_RBF,2,0.8415841584158416,0.8383533090151121,0.7526918021765256,0.9313442504566501
20,stat,EN,SVM_Lin,2,0.8415841584158416,0.8362311840940192,0.7538383616467451,0.9399224284817506
20,stat,EN,GBM,2,0.7821782178217822,0.7797743619574272,0.6581674299313082,0.9230443103993506
20,stat,EN,RF,3,0.8811881188118812,0.8778455752551999,0.8156093809424397,0.9785043383489489
20,stat,EN,XGB,3,0.9108910891089109,0.9095249643316804,0.861535739291423,0.9791790952294493
20,stat,EN,LR,3,0.9207920792079208,0.9188559269460781,0.8770517619423804,0.9719071611577511
20,stat,EN,SVM_RBF,3,0.8811881188118812,0.8802341624123802,0.8163616971565502,0.9824944353661899
20,stat,EN,SVM_Lin,3,0.8811881188118812,0.879581607565239,0.8151726141623061,0.957798412794479
20,stat,EN,GBM,3,0.9207920792079208,0.9188559269460781,0.8770517619423804,0.98022190568414
20,stat,EN,RF,4,0.83,0.8298067632850241,0.7394405927171236,0.9581050494839004
20,stat,EN,XGB,4,0.8,0.8000310391363022,0.6869392474076724,0.940527593612707
20,stat,EN,LR,4,0.83,0.8290452876376989,0.7337846493547705,0.9541107466183453
20,stat,EN,SVM_RBF,4,0.84,0.8323145485911444,0.7573065667957598,0.9477425848435072
20,stat,EN,SVM_Lin,4,0.81,0.8099271627344222,0.7029299026139201,0.9365442826201403
20,stat,EN,GBM,4,0.79,0.7874071874071873,0.6726600839109637,0.9196343838605365
25,stat,EN,RF,0,0.8514851485148515,0.8441700510339959,0.7683084113958654,0.9583164007004328
25,stat,EN,XGB,0,0.8415841584158416,0.8363210005211048,0.7526918021765256,0.9586344628048464
25,stat,EN,LR,0,0.7920792079207921,0.7869560211835137,0.6738385520636296,0.9430779750695004
25,stat,EN,SVM_RBF,0,0.8712871287128713,0.8665240473029541,0.8012688495697342,0.9584379970642236
25,stat,EN,SVM_Lin,0,0.8217821782178217,0.8185972443398186,0.7207616804524102,0.9347800999674328
25,stat,EN,GBM,0,0.8415841584158416,0.8376806892627874,0.7519261188213817,0.9491482944649761
25,stat,EN,RF,1,0.8613861386138614,0.8606209052961045,0.78374953043211,0.961235775408389
25,stat,EN,XGB,1,0.8712871287128713,0.8703855259475528,0.7988178651218326,0.9527738838621979
25,stat,EN,LR,1,0.8811881188118812,0.8809226696918132,0.8146917461160043,0.9538326749076079
25,stat,EN,SVM_RBF,1,0.8712871287128713,0.8688817864477004,0.7996032727146776,0.9559237075740198
25,stat,EN,SVM_Lin,1,0.8514851485148515,0.851573371371188,0.7685814048638967,0.9451703057077722
25,stat,EN,GBM,1,0.8217821782178217,0.8208657638746988,0.7233070290756571,0.9347013956737418
25,stat,EN,RF,2,0.8613861386138614,0.8541131640417299,0.7853475129955569,0.9528930612784315
25,stat,EN,XGB,2,0.8514851485148515,0.8486794401569179,0.7685465461510167,0.9425324728959877
25,stat,EN,LR,2,0.8217821782178217,0.8190889898543859,0.7243358090005876,0.9521698549575445
25,stat,EN,SVM_RBF,2,0.8415841584158416,0.8392424228521093,0.7531128798203524,0.9385016212848506
25,stat,EN,SVM_Lin,2,0.8514851485148515,0.8495589977116178,0.7718208376248404,0.9505211947004989
