n_snps,panel,reductor,acc_mean,acc_std
75,fst_stat,RF,0.9285742574257426,0.0039003366794568375
80,fst_stat,RF,0.9226336633663366,0.021092557706194788
90,fst_stat,RF,0.9206336633663368,0.010850617873848934
100,fst_stat,RF,0.9325346534653465,0.011573507839772767
5,fst_stat,LR,0.6488514851485149,0.042401935393160756
10,fst_stat,LR,0.6767128712871286,0.04423916605624061
15,fst_stat,LR,0.7480594059405941,0.028743009106440027
20,fst_stat,LR,0.7678415841584159,0.023234263426265167
25,fst_stat,LR,0.7817029702970297,0.017152493078899194
30,fst_stat,LR,0.7956237623762377,0.01029253519580034
35,fst_stat,LR,0.8094653465346535,0.025075406324777852
40,fst_stat,LR,0.8312871287128714,0.022241775971641904
45,fst_stat,LR,0.867049504950495,0.034691260859778104
50,fst_stat,LR,0.864990099009901,0.031562244485043134
55,fst_stat,LR,0.862950495049505,0.038565412611523665
60,fst_stat,LR,0.8827524752475249,0.05062094188067405
65,fst_stat,LR,0.8985940594059405,0.05659544511187306
70,fst_stat,LR,0.8887326732673266,0.04681668903624473
75,fst_stat,LR,0.8907524752475247,0.03861719203711339
80,fst_stat,LR,0.9027326732673269,0.03172630726524841
90,fst_stat,LR,0.9145742574257426,0.03506898826383833
100,fst_stat,LR,0.9265148514851484,0.02343072183299385
5,fst_stat,EN,0.6091683168316832,0.03299675446635932
10,fst_stat,EN,0.7321584158415841,0.022374520217980236
15,fst_stat,EN,0.769960396039604,0.03392880787073228
20,fst_stat,EN,0.7897425742574258,0.024120210010038053
25,fst_stat,EN,0.8353861386138615,0.02269790697144179
30,fst_stat,EN,0.8511683168316833,0.009224917773649541
35,fst_stat,EN,0.868910891089109,0.036927374894067444
40,fst_stat,EN,0.8789306930693069,0.013517429848707711
45,fst_stat,EN,0.9046930693069306,0.019850198718842395
50,fst_stat,EN,0.9086336633663367,0.033182258042501224
55,fst_stat,EN,0.9106534653465348,0.019163734007435377
60,fst_stat,EN,0.9027524752475248,0.021269244156424328
65,fst_stat,EN,0.9166138613861385,0.023338496588206893
