n_snps,panel,reductor,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
45,stat,EN,SVM_Lin,0.9265742574257427,0.011398099615102509,0.9257126450191508,0.8866450074946167,0.9840725039628044
45,stat,EN,SVM_RBF,0.9146336633663367,0.01544814651858666,0.9139848267279239,0.8675369043103702,0.9840638041400835
45,stat,EN,XGB,0.9145742574257426,0.03525909255056715,0.913676044657959,0.8686128514043494,0.9859743006638354
50,stat,EN,GBM,0.884831683168317,0.03522460039925135,0.8831228496221323,0.8230846325462734,0.9817238913235556
50,stat,EN,LR,0.9305148514851485,0.023412481704818765,0.9298187896063699,0.892505554269985,0.987227282394108
50,stat,EN,RF,0.9285148514851486,0.027726308119634457,0.9267599800611661,0.890062943411286,0.9874996441706095
50,stat,EN,SVM_Lin,0.9166534653465346,0.005675780895666311,0.9155781147472452,0.8712096533327205,0.9846250788504243
50,stat,EN,SVM_RBF,0.9305346534653465,0.014145878268009154,0.9297101389265083,0.8924976146182685,0.983779308308258
50,stat,EN,XGB,0.9165940594059405,0.02889813905664446,0.9156594599448222,0.8711729505317308,0.9856786621219946
55,stat,EN,GBM,0.9067128712871287,0.020745870387229234,0.9061199810025146,0.8550576507171671,0.986041000117962
55,stat,EN,LR,0.9483366336633663,0.027780385678535663,0.9474698033629604,0.9212966923557133,0.9919515585936729
55,stat,EN,RF,0.9305544554455446,0.014005544576853353,0.9288503211091037,0.8938082257481768,0.991057539152323
55,stat,EN,SVM_Lin,0.9423960396039603,0.019416091505553408,0.9418033004962536,0.9115411515452496,0.9903487371159473
55,stat,EN,SVM_RBF,0.9543168316831683,0.01529047570193457,0.953992687656943,0.9297829535640607,0.9904674021947584
55,stat,EN,XGB,0.9265742574257425,0.023896650331561384,0.9254477050635019,0.8866073464774479,0.9906089669026418
60,stat,EN,GBM,0.9087326732673267,0.017690994243562304,0.9075615096154822,0.8588842774081469,0.9858833085576052
60,stat,EN,LR,0.9384356435643564,0.02285310665695428,0.9379953276421797,0.9052990314168552,0.9895868430058823
60,stat,EN,RF,0.9285742574257426,0.019029435095630553,0.9277237219689434,0.8894524897069163,0.9898913730647584
60,stat,EN,SVM_Lin,0.9225940594059405,0.023753339865979824,0.9215530093386619,0.8818375493936811,0.987404530234687
60,stat,EN,SVM_RBF,0.9523564356435642,0.00849825691256194,0.95226754127049,0.9261371655190599,0.9893318746194051
60,stat,EN,XGB,0.9305742574257426,0.013899241096143308,0.9293904110557583,0.89302131646805,0.9902703404190284
65,stat,LR,GBM,0.892831683168317,0.025770890747519787,0.8925222217368015,0.8345078048897024,0.9762074711578211
65,stat,LR,LR,0.9205544554455447,0.02570995648698173,0.9208794466229708,0.8783462585842854,0.9862872216648153
