method,panel_size,classifier,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
RF,5,SVM (Linear),0.6407524752475248,0.04101762121900343,0.5887501392713628,0.026152594600840493,0.45192556637694264,0.05957793249860032,0.7752059408868222,0.0466287845675145
RF,5,KNN,0.6387524752475248,0.046655398436980494,0.5778799460298352,0.03783540996902681,0.45909986669194913,0.06329308080779134,0.6886098933852108,0.0343195774136132
RF,5,Naive Bayes,0.42649504950495054,0.025938145149314046,0.37654020754435547,0.02564753880081696,0.3556801940792958,0.039951150468596056,0.7834139738416978,0.033434507355220126
RF,5,Grad Boosting,0.6367722772277228,0.04126514123552856,0.5785246139222536,0.030087456874766487,0.44799233595159194,0.05307323136151476,0.8068600395873899,0.04482678048975713
RF,5,AdaBoost,0.6070297029702971,0.039161388529189864,0.5641708457946407,0.05956902682799683,0.40316425987909527,0.04456614329411141,0.7708939896946438,0.04979050617325344
RF,5,MLP,0.6307920792079209,0.04337989751352003,0.5569608673237789,0.04576716407529499,0.44276876204014926,0.047046864435148515,0.7661993644772693,0.046392326192034074
RF,10,Random Forest,0.7202376237623762,0.02017020021633357,0.7170030860203389,0.021434425050726146,0.5662643439182622,0.03556211114212517,0.881412475904104,0.013054154862526951
RF,10,XGBoost,0.7242376237623762,0.02726570887583726,0.7216303190555509,0.028600858165227408,0.5745196385710916,0.04770942372748516,0.8884431505175225,0.011551554155559205
RF,10,Logistic Reg,0.6983564356435643,0.02384602438834398,0.6924544677570981,0.030310471615621185,0.5385325305695778,0.047115194243857676,0.8780566382426519,0.010876070886596098
RF,10,SVM (RBF),0.7241584158415841,0.016680744307843727,0.7070316165151956,0.029211347861146496,0.586612332500237,0.024618144817168213,0.8575522056337634,0.015294028443008334
RF,10,SVM (Linear),0.7182178217821782,0.014163607716631828,0.6954556370212039,0.03189624165567457,0.5761315639202012,0.026023318355439324,0.8602368829499131,0.024544617884289178
RF,10,KNN,0.6784950495049505,0.03957813019046743,0.6199186170402173,0.04381924403662818,0.5084509208762824,0.05556936987123628,0.736303095967334,0.034810123630603075
RF,10,Naive Bayes,0.43041584158415847,0.03703967674226192,0.3839517135969964,0.03379859582794502,0.35083718041308476,0.06920136003637184,0.8306272660285401,0.030938980347427574
RF,10,Grad Boosting,0.7162970297029703,0.016799223214124505,0.714476125267921,0.01966188413335754,0.5606227655053292,0.030640837692821003,0.877395296226782,0.013161074952388866
RF,10,AdaBoost,0.6864158415841584,0.024442286113533582,0.6737085197585869,0.03487924564306197,0.5169654967327736,0.04671320404991597,0.8434841046332473,0.020224312601075836
RF,10,MLP,0.6785148514851485,0.029075214550653806,0.6414269483603212,0.015283356107332603,0.5051120639784804,0.05731773360833842,0.852025252492736,0.04075296929304182
RF,15,Random Forest,0.746039603960396,0.018229656078734637,0.7313635971964714,0.024091507622330872,0.6128741102122122,0.03600878278391699,0.8973400586088447,0.010107015480934749
RF,15,XGBoost,0.747980198019802,0.010955990242059356,0.7341500607745124,0.01837593770567849,0.6153702549080904,0.015266652251110983,0.8984392420238307,0.011132987767805165
RF,15,Logistic Reg,0.7281386138613861,0.02266236064363471,0.7151164967444734,0.03169279110486612,0.5852349713954909,0.03658010727894414,0.897569980970859,0.009200528227374211
RF,15,SVM (RBF),0.7519207920792079,0.025720752365451505,0.7372870642841629,0.030537807350935017,0.624091069813414,0.039334799358542546,0.881095891005307,0.024787510044341272
RF,15,SVM (Linear),0.7201188118811881,0.038813012713350116,0.7045121778517718,0.03880058995142575,0.5819695533234479,0.05290886239797278,0.8814712647404349,0.026699884404049183
RF,15,KNN,0.7103564356435644,0.03952227218948454,0.6630233187718951,0.03438098875788731,0.5604376825662161,0.054726586849730086,0.7795474840338781,0.033505368999733276
RF,15,Naive Bayes,0.4463168316831683,0.03470764646959636,0.4039305851595419,0.04411054595602971,0.3765889734426314,0.04896857738393208,0.848432566373503,0.0288854330028671
RF,15,Grad Boosting,0.748,0.02324776089073319,0.7379052625090959,0.023442106150737423,0.6148715787829139,0.04000439867214174,0.8904496053309362,0.012710681379739686
RF,15,AdaBoost,0.7300792079207921,0.022242163824214112,0.7176188638814844,0.02165856294407651,0.5851415749408072,0.03184917212984554,0.8539418605448683,0.005694587345747775
RF,15,MLP,0.7162376237623762,0.018844161985537157,0.6617093951502535,0.036034793210249313,0.5667909899703549,0.025813398882236677,0.8588199988393226,0.022995807776767983
RF,20,Random Forest,0.8035445544554456,0.01734187739822108,0.7954089625339192,0.01852677984248608,0.6928054522287682,0.028294901714743075,0.9305415326654028,0.012284282346817912
RF,20,XGBoost,0.7956435643564357,0.015959953805631606,0.7875311458060834,0.013409508262841591,0.6830097926591622,0.02537940039251828,0.921126134261786,0.010989628778259567
RF,20,Logistic Reg,0.7797029702970297,0.024353215596532383,0.772609559902466,0.02109785919338363,0.6580959544703198,0.03776510836704154,0.9238598574368515,0.014037651529645926
RF,20,SVM (RBF),0.8035643564356436,0.017098640114790408,0.7956385486894925,0.01909028255187475,0.6959315365573753,0.025451248733951687,0.90196382242897,0.02920902640175308
RF,20,SVM (Linear),0.7737425742574258,0.025249691229121303,0.769643901489921,0.022294050312537176,0.6520703820382238,0.038031471938973715,0.9126138060280216,0.01615444412624998
RF,20,KNN,0.7837425742574258,0.028178461344730912,0.7569796995282166,0.030610598994885267,0.6663111958840455,0.04760251294925679,0.8591694149233865,0.02574813689770221
RF,20,Naive Bayes,0.474019801980198,0.061269054741482754,0.4568577479823439,0.07531475761874318,0.38372684679064556,0.07522828800117239,0.8671560829690561,0.02258805830439956
RF,20,Grad Boosting,0.7738217821782178,0.011277327688427674,0.7691895778093297,0.00949505782378243,0.6486760751388906,0.014181320382359147,0.9154748374955594,0.008189275558089947
RF,20,AdaBoost,0.7798019801980198,0.019778203547221835,0.7738976054754051,0.02058492675123529,0.6563064373917473,0.03268426233193706,0.8836099163156763,0.01245340550003895
RF,20,MLP,0.7758811881188119,0.04047796003388819,0.7585863736729188,0.04871658529160826,0.6544567923000273,0.06264606767198305,0.9067290724941225,0.02902251879722144
RF,25,Random Forest,0.7956633663366337,0.018051804896833158,0.7883786650412147,0.020281149226961684,0.6811953388563339,0.029652258682502784,0.9425615483722252,0.013434644298828801
RF,25,XGBoost,0.8015841584158416,0.022591620906062017,0.7958334405081116,0.020737239395312003,0.6917416528650191,0.03549699954523088,0.9363133586389489,0.013098762308106299
RF,25,Logistic Reg,0.8115049504950494,0.010872062588440487,0.8034546306062165,0.016289165479954106,0.7081895435367742,0.01549096250224668,0.9437161670292449,0.010477363782976517
RF,25,SVM (RBF),0.8034851485148515,0.02760302284016576,0.792491121278851,0.023455317188388773,0.6989962349545454,0.04598041746894099,0.9223547505172978,0.025653987611488384
RF,25,SVM (Linear),0.8055841584158416,0.013022659024704487,0.797466150556484,0.016459076489947298,0.698891627245429,0.023479003468436645,0.9325766342824802,0.011768616562972041
RF,25,KNN,0.7381188118811881,0.02749196708299967,0.7081033344126657,0.03816442026127529,0.5917327029786048,0.04405156370253839,0.8883284816710658,0.031231712620703695
RF,25,Naive Bayes,0.5294653465346535,0.10932518142943536,0.5261700843528931,0.12809012059057104,0.44086383172161775,0.12301195795029127,0.879219002846305,0.02921220737017553
RF,25,Grad Boosting,0.7917029702970297,0.023955027628690066,0.7889135719554417,0.020345920146299643,0.6772456330110482,0.03592340330281199,0.9313093914412338,0.00890760168498124
RF,25,AdaBoost,0.7956831683168317,0.02182260874249918,0.7867525226206766,0.024359362674378732,0.6839889400490804,0.03354697529556951,0.9098424621239228,0.015543986552487754
RF,25,MLP,0.8154653465346534,0.018459906824908785,0.8014764893855851,0.02628922037566713,0.7153287303881231,0.029767184120679278,0.9336462448524356,0.02402045784131668
RF,30,Random Forest,0.8214653465346535,0.013561450870419864,0.8146763189554456,0.016373095708625666,0.7238079875229856,0.022345167871533803,0.9543620334300306,0.011690224506886289
RF,30,XGBoost,0.8214257425742574,0.01254414418671594,0.8147076499013046,0.010449336510382677,0.7238765212678274,0.02210282016501022,0.9469237436067658,0.013671475581931148
RF,30,Logistic Reg,0.8254257425742575,0.021100252715091358,0.8188525188805323,0.02372108862152455,0.7292624938665015,0.03455503697617785,0.9497530148943125,0.012472425878514545
RF,30,SVM (RBF),0.8254257425742575,0.027548419200580904,0.8188051768918078,0.027423092373280163,0.7296707353791136,0.04629855852301461,0.9319028161240244,0.024025642629513094
RF,30,SVM (Linear),0.8174851485148515,0.023740551033127527,0.8120161334111546,0.026486074803387064,0.7176556195390409,0.03954273579657988,0.940725329109474,0.015051801464599028
RF,30,KNN,0.7937227722772278,0.026393566097442443,0.7787235555244958,0.02916109240701953,0.6801591189994555,0.0434837360616547,0.8935052835695739,0.030084435356741133
RF,30,Naive Bayes,0.5988118811881188,0.1361166859027897,0.5950003717647137,0.1453513812605811,0.4856060846321159,0.12054857204122853,0.8961783999930821,0.03693158640550611
RF,30,Grad Boosting,0.8135445544554456,0.03128602579833199,0.8077367388956812,0.03275694581607008,0.7109609596981983,0.05013158217054378,0.9386834234276671,0.016647794382598356
