n_snps,panel,reductor,classifier,fold,acc,f1,mcc
10,stat,RF,SVM_RBF,0,0.7029702970297029,0.62705274301015,0.5523758781691804
10,stat,RF,SVM_Lin,0,0.7128712871287128,0.6343705799151343,0.5659990223010214
10,stat,RF,GBM,0,0.7128712871287128,0.6343705799151343,0.5659990223010214
10,stat,RF,RF,1,0.6138613861386139,0.613156843412427,0.4018884688518543
10,stat,RF,XGB,1,0.5841584158415841,0.5815887404875573,0.3535693153516181
10,stat,RF,LR,1,0.7227722772277227,0.7221572157215721,0.5767481263931297
10,stat,RF,SVM_RBF,1,0.6435643564356436,0.6446233897031002,0.5090284529908825
10,stat,RF,SVM_Lin,1,0.6237623762376238,0.6189236665602045,0.4852332934003088
10,stat,RF,GBM,1,0.594059405940594,0.5932420314184071,0.3711611900070116
10,stat,RF,RF,2,0.7623762376237624,0.7521518112781118,0.6415167498802452
10,stat,RF,XGB,2,0.7623762376237624,0.7532611468533149,0.643256877056637
10,stat,RF,LR,2,0.7227722772277227,0.7377278268367378,0.594820435322948
10,stat,RF,SVM_RBF,2,0.7128712871287128,0.7305019975681779,0.5781404788707614
10,stat,RF,SVM_Lin,2,0.7227722772277227,0.7400857968062635,0.5971929831675932
10,stat,RF,GBM,2,0.7623762376237624,0.7527778951437107,0.6441131592401613
10,stat,RF,RF,3,0.693069306930693,0.6455445544554456,0.5257077638518514
10,stat,RF,XGB,3,0.7128712871287128,0.6825396825396824,0.5553848776493938
10,stat,RF,LR,3,0.7227722772277227,0.6901811060226902,0.5743909998941413
10,stat,RF,SVM_RBF,3,0.7326732673267327,0.7062257246132776,0.5891052699803759
10,stat,RF,SVM_Lin,3,0.7128712871287128,0.6724921705302369,0.5616695453712665
10,stat,RF,GBM,3,0.693069306930693,0.6642256062340929,0.5216644853184117
10,stat,RF,RF,4,0.71,0.6751527963607171,0.5531182615753297
10,stat,RF,XGB,4,0.68,0.648952380952381,0.5111063925968917
10,stat,RF,LR,4,0.71,0.6871821302256674,0.5533211949243517
10,stat,RF,SVM_RBF,4,0.71,0.6902111978198934,0.5624183885220437
10,stat,RF,SVM_Lin,4,0.7,0.6659989255976362,0.5380721658263335
10,stat,RF,GBM,4,0.68,0.6473364030335861,0.5081671286094367
10,stat,LR,RF,0,0.6732673267326733,0.644219459539939,0.4823657078765295
10,stat,LR,XGB,0,0.7227722772277227,0.7182456042690902,0.5650924704083486
10,stat,LR,LR,0,0.6732673267326733,0.6531152868480686,0.4828421180861885
10,stat,LR,SVM_RBF,0,0.7128712871287128,0.6613278974956319,0.5587383586030682
10,stat,LR,SVM_Lin,0,0.7128712871287128,0.6332640732333129,0.5641490065251218
10,stat,LR,GBM,0,0.6732673267326733,0.6627942087948762,0.4841202746883001
10,stat,LR,RF,1,0.6633663366336634,0.6564219065225263,0.47382747707602957
10,stat,LR,XGB,1,0.6435643564356436,0.6405940594059406,0.4474969474969475
10,stat,LR,LR,1,0.6831683168316832,0.664529641549763,0.49788347721944476
10,stat,LR,SVM_RBF,1,0.7128712871287128,0.6899072830279361,0.5487816051011735
10,stat,LR,SVM_Lin,1,0.6534653465346535,0.631609172364954,0.44922092785499845
